COURSE,GRADE
PRAD 256,F
PRAD 291,C
PRAD 334,B
ENV 102,D
CMN 103,C
LSP 121,D
LSP 200,B
WRD 104,C
DC 125,B
HSP 101,B
PRAD 255,B
PRAD 256,C
PRAD 335,B
HSP 100,C
PRAD 336,C
PRAD 376,F
SOC 355,A
CMN 101,B
CMN 102,B
PRAD 244,B
WRD 103,B
CMN 103,C
LSP 121,D
LSP 200,B
WRD 104,C
ENV 102,D
PRAD 291,C
PRAD 334,B
DC 125,B
HSP 101,B
PRAD 255,B
PRAD 256,C
PRAD 335,B
HSP 100,C
PRAD 336,C
PRAD 376,F
SOC 355,A
PRAD 256,F
PRAD 256,C
CMN 101,B
CMN 102,B
PRAD 244,B
WRD 103,B
REL TR110,C
MAT 131,D
HST TR216,C
ENG 120,C
ECO 105,C
ECO 106,C
MGT 300,C
MIS TR100,D
MAT 137,D
CMN,396
PRAD,376
PSY,210
SOC,245
UIP,250
PHL 100,B
MAT 135,B
MAT 137,C
HST TR116,A
ACC 101,C
PHL 100,B
MAT 135,B
MAT 137,C
HST TR116,A
ACC 101,C
SOC 101,C
REL TR110,C
MAT 131,D
HST TR216,C
ENG 120,C
ECO 105,C
ECO 106,C
MGT 300,C
MIS TR100,D
COURSE,GRADE
MAT 137,D
PRAD 256,F
