Course,Grade:
EDUC 7763,A
EDUC 6893,A
MATH 1155,A
MUSIC 1401,A
SOAC 4006,A
EDUC 3404,A
DAN 2022,A
DAN 1320,A-
EDUC 6818,A-
THEAH 3337,A
THEA 2339,A
MUSIH 3344,A
EDUC 6583,A
EDUC 6584,A
EDUC 6661,A
EDUC 7812,A
EDUC 6575,A
EDUC 6740,A
EDUC 6825,A
ART 3415,A
INTER 3430,A-
UNIV 2001,A-
UNIV 2002,A-
ENGL 3424,A
MUSIC 1020,A
MUSIC 1022,A
PSYC 3001,A
SPAN 1002,A
SPAN 1008,A
THEAH 1202,A
THEA 2204,B
EDUC 2209,A
HIST 1150,
HIST 1151,
HIST 1130,
ENGW 1101,NSOA
SPCH 1204,A
MATH 1126,A
MUSIC 1020,A
UNIV 1001,A
THEA 2209,A
ENGW 1102,B
EDUC 1108,A
BIOL 1007,A
COMM 2099,A
PHIL 1103,A
PSYC 1201,A-
UNIV 1002,A
EDUC 2401,A
THEA 1203,B
