Course,,Title,Grd R,Crs Att,Crs Cmpt,Grade Points,
HIST,1150,World History to 1500,,0.00,3.00,0.0000,SOUTHERN N
HIST,1151,World History since 1500,,0.00,3.00,0.0000,SOUTHERN N
,Term,17/SP Totals: 0.00 6.00,0.00,GPA =,0.00,,
,,Cumulative Totals: 0.00 6.00,0.00,GPA =,0.00,,
HIST,1130,The United States to 1877,,0.00,3.00,0.0000,
ENGW,1101,College Writing Workshop,NSOA,0.00,3.00,0.0000,
,Term,17/SU Totals: 0.00 6.00,0.00,GPA =,0.00,,
,,Cumulative Totals: 0.00 12.00,0.00,GPA =,0.00,,
SPCH,1204,Voice for the Actor I,A,3.00,3.00,12.0000,
MATH,1126,Contemporary Mathematics,A,3.00,3.00,12.0000,
MUSIC,1020,Chorus,A,1.00,1.00,4.0000,
UNIV,1001,Transitioning to Univer Life,A,1.00,1.00,4.0000,
THEA,2209,Stagecraft I,A,3.00,3.00,12.0000,
ENGW,1102,Res Wrtg Wkshop:,B,3.00,3.00,9.0000,
EDUC,1108,Seminar: Prof Practice I,A,3.00,3.00,12.0000,
,Term,17/FA Totals: 17.00 17.00,65.00,GPA =,3.82,,
,,Cumulative Totals: 17.00 29.00,65.00,GPA =,3.82,,
,,Academic Standing for Term 17/FA:,HONORS,LIST -,01/22/18,,
BIOL,1007,Animal Biology,A,4.00,4.00,16.0000,
BIOL,1017,Lab: Animal Biology,,,,,
COMM,2099,Professional Communications,A,3.00,3.00,12.0000,
PHIL,1103,Ethics,A,3.00,3.00,12.0000,
PSYC,1201,General Psychology,A-,3.00,3.00,11.0100,
UNIV,1002,Prep for Professional Life,A,1.00,1.00,4.0000,
EDUC,2401,Field Experience I,A,1.00,1.00,4.0000,
THEA,1203,Basic Acting I,B,3.00,3.00,9.0000,
