,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EDUC,7763,Human Relations & Conflict Res,A,3.00,3.00,12.0000
,Term,20/FA Totals: 17.00 17.00,65.69,GPA =,3.86,
,,Cumulative Totals: 119.00 134.00,455.45,GPA =,3.83,
,,Academic Standing for Term 20/FA:,HONORS,LIST -,02/15/21,
EDUC,6893,Evaluation and Measurement,A,3.00,3.00,12.0000
MATH,1155,Mathematical Ideas,A,3.00,3.00,12.0000
MUSIC,1401,Private Instruction- Voice III,A,1.00,1.00,4.0000
SOAC,4006,Professional Practice: Theater,A,3.00,3.00,12.0000
EDUC,3404,Field Experience IV,A,2.00,2.00,8.0000
DAN,2022,Ballet II,A,3.00,3.00,12.0000
,,,,,,
