Course,Title,Grd R,Crs Att,Crs Cmpt,Grade Points
BIOL 1007,Animal Biology,A,4.00,4.00,16.0000
BIOL 1017,Lab: Animal Biology,,,
COMM 2099,Professional Communications,A,3.00,3.00,12.0000
PHIL 1103,Ethics,A,3.00,3.00,12.0000
PSYC 1201,General Psychology,A-,3.00,3.00,11.0100
UNIV 1002,Prep for Professional Life,A,1.00,1.00,4.0000
EDUC 2401,Field Experience I,A,1.00,1.00,4.0000
THEA 1203,Basic Acting I,B,3.00,3.00,9.0000
Term 18/SP Totals:,18.00,18.00,68.01,GPA = 3.78
Cumulative Totals:,35.00,47.00,133.01,GPA = 3.80
