TERM,COURSE ID,TITLE,GRADE,CREDITS
FAL13,ENGL& 101,ENGLISH COMPOSITION I,4.0,5.0
FAL13,HLTH 105,EMERGENCY RESPONSE/CPR,4.0,4.0
FAL13,MATH 090,INTERMEDIATE ALGEBRA,4.0,5.0
WIN14,CHEM& 141,GENERAL CHEMISTRY I,3.6,4.0
WIN14,CHEM& 151,GENERAL CHEM LAB I,3.6,2.0
WIN14,ENGL& 102,COMPOSITION II,4.0,5.0
WIN14,MATH& 141,PRECALCULUS I,4.0,5.0
SPR14,ANTH& 100,SURVEY OF ANTHROPOLOG:CD,4.0,5.0
SPR14,HIST& 118,WESTERN CIVILIZATION III,4.0,5.0
SPR14,MATH& 142,PRECALCULUS II,4.0,5.0
FAL14,BUS& 101,INTRO TO BUSINESS,4.0,5.0
FAL14,HUM 101,STUDIES/AMERICAN CULTURE,4.0,5.0
FAL14,MATH& 151,CALCULUS I,3.9,5.0
WIN15,COMM 101,INTERCULTURAL COMMUN:CD,4.0,5.0
WIN15,MATH& 152,CALCULUS II,4.0,5.0
WIN15,PHIL& 101,INTRO TO PHILOSOPHY,4.0,5.0
WIN15,PSYC& 100,GENERAL PSYCHOLOGY,4.0,5.0
SPR15,BSTEC 107,BUSINESS ENGLISH,4.0,5.0
SPR15,GEOL& 103,HISTORICAL GEOLOGY,4.0,5.0
SPR15,MATH& 153,CALCULUS III,4.0,5.0
SPR15,MGMT 100,HUMAN REL/ORGANIZ:CD,4.0,5.0
SPR15,PE 124,MEN'S BODY CONDITIONING,4.0,2.0
SUM16,ACCT& 203,PRIN OF ACCOUNTING III,4.0,5.0
