Course,Description,Grade
EDU 101,TEACH PRE K-8 EXPLOR/INVEST,A
ENG 23,COLLEGE COMPOSITION I,A
GEG 20,ELEMENTS OF CULT GEG,B
MAT 103,FUNDAMENTALS OF MATH I,A
PSY 11,GENERAL PSYCHOLOGY,B+
BIO 10,INTRO TO BIOLOGY,A
COM 10,FUNDAMENTALS OF ORAL COMM,A-
ENG 10,INTRO TO LITERATURE,A
HIS 25,HIS US:FORM YRS&FED REPUB,A-
MAT 104,FUNDAMENTALS OF MATH II,A
EEU 202,DISPOSITIONS/ADVOCACY,A
HEA 102,INTRO TO HEALTH/WELLNESS,A-
ITC 321,INSTRUCTIONAL TECH IN ED,A
PSY 110,CHILD PSYCHOLOGY,A-
SOC 10,PRINCIPLES OF SOCIOLOGY,A
SPU 201,COGNITIVE DEVEL/STANDARDS,A
ARH 24,ART HISTORY A,B+
ARU 236,THE ARTS & PRE K-4 EDUC.,A
AST 20,INTRO ASTRONOMY,A
EEU 130,EARLY CHILDHOOD DEV/TH&PR,A
EEU 209,MATH FOUNDATIONS/PRE K-1,A
EEU 220,CHILDREN'S LIT/PRE K-4,A
EEU 225,ASSESS I: OBSERV+INFORMAL,A
EEU 300,EARLY LIT DEVELOP & ACQ,A
SPU 314,STU/DISABL INCL SETTINGS,A
THE 15,INTRO TO THE THEATRE,A
EEU 205,TEACH SCIENCE/EARLY CHILD,A
EEU 211,FAMILY COLLAB & DIVERSITY,A
EEU 325,ASSESS II: FORMATIVE,SUM,A
ELU 353,LANG DEV,READING ASSESS & INT,A
SPU 316,LIT DEVELOP & INSTRUCTION,A
EEU 301,TEACH LITERACY/GRADES 2-4,A
EEU 303,LANG DEVELOP/LANG ARTS PREK-4,A
EEU 304,TEACH SOC STUDIES/PRE K-4,A
EEU 306,INT PRIN/LEARNING PRE K-4,A
EEU 309,TEACH MATH/GRADES 2-4,A
EEU 390,CLINICAL EXPER I:PRE K-4,A
EEU 391,CLINICAL EXPER II:PRE K-4,A
