Spring 2019
Course,Description,Attempted,Earned,Grade
EEU 390,CLINICAL EXPER I:PRE K-4,6.00,6.00,A
EEU 391,CLINICAL EXPER II:PRE K-4,6.00,6.00,A
Points,Attempted,Earned,GPA
469.02,120.00,120.00,3.91
Course,Description,Attempted,Earned,Grade
EEU 301,TEACH LITERACY/GRADES 2-4,3.00,3.00,A
EEU 303 WI,LANG DEVELOP/LANG ARTS PREK-4,3.00,3.00,A
EEU 304,TEACH SOC STUDIES/PRE K-4,3.00,3.00,A
EEU 306 WI,INT PRIN/LEARNING PRE K-4,3.00,3.00,A
EEU 309,TEACH MATH/GRADES 2-4,3.00,3.00,A
Course,Description,Attempted,Earned,Grade
EEU 205,TEACH SCIENCE/EARLY CHILD,3.00,3.00,A
EEU 211 CD,FAMILY COLLAB & DIVERSITY,3.00,3.00,A
EEU 325,ASSESS II: FORMATIVE,SUM,3.00,3.00,A
ELU 353,LANG DEV,READING ASSESS & INT,3.00,3.00,A
SPU 316 WI,LIT DEVELOP & INSTRUCTION,3.00,3.00,A
Course,Description,Attempted,Earned,Grade
ARH 24 VL,ART HISTORY A,3.00,3.00,B+
ARU 236,THE ARTS & PRE K-4 EDUC.,3.00,3.00,A
AST 20,INTRO ASTRONOMY,3.00,3.00,A
EEU 130,EARLY CHILDHOOD DEV/TH&PR,3.00,3.00,A
EEU 209,MATH FOUNDATIONS/PRE K-1,3.00,3.00,A
Course,Description,Attempted,Earned,Grade
EEU 220 VL,CHILDREN'S LIT/PRE K-4,3.00,3.00,A
EEU 225,ASSESS I: OBSERV+INFORMAL,3.00,3.00,A
EEU 300,EARLY LIT DEVELOP & ACQ,3.00,3.00,A
SPU 314,STU/DISABL INCL SETTINGS,3.00,3.00,A
THE 15,INTRO TO THE THEATRE,3.00,3.00,A
002120114,Brianna Graziano,BSED ELU/PRE K-4,3.91,120.00
Fall 2015,5,15.00,15.00,3.67
Spring 2016,5,15.00,15.00,3.87
Fall 2016,6,18.00,18.00,3.89
Spring 2017,5,15.00,15.00,3.87
Fall 2017,5,15.00,15.00,4.00
Spring 2018,5,15.00,15.00,4.00
Fall 2018,5,15.00,15.00,4.00
Spring 2019,2,12.00,12.00,4.00
EDU 101,TEACH PRE K-8 EXPLOR/INVEST,A
ENG 23,COLLEGE COMPOSITION I,A
GEG 20,ELEMENTS OF CULT GEG,B
MAT 103,FUNDAMENTALS OF MATH I,A
PSY 11,GENERAL PSYCHOLOGY,B+
BIO 10,INTRO TO BIOLOGY,A
COM 10,FUNDAMENTALS OF ORAL COMM,A-
ENG 10,INTRO TO LITERATURE,A
HIS 25,HIS US:FORM YRS&FED REPUB,A-
MAT 104,FUNDAMENTALS OF MATH II,A
EEU 202,DISPOSITIONS/ADVOCACY,A
HEA 102,INTRO TO HEALTH/WELLNESS,A-
ITC 321,INSTRUCTIONAL TECH IN ED,A
PSY 110,CHILD PSYCHOLOGY,A-
SOC 10,PRINCIPLES OF SOCIOLOGY,A
SPU 201,COGNITIVE DEVEL/STANDARDS,A
ARH 24,ART HISTORY A,B+
ARU 236,THE ARTS & PRE K-4 EDUC.,A
AST 20,INTRO ASTRONOMY,A
EEU 130,EARLY CHILDHOOD DEV/TH&PR,A
EEU 209,MATH FOUNDATIONS/PRE K-1,A
EEU 220,CHILDREN'S LIT/PRE K-4,A
EEU 225,ASSESS I: OBSERV+INFORMAL,A
EEU 300,EARLY LIT DEVELOP & ACQ,A
SPU 314,STU/DISABL INCL SETTINGS,A
THE 15,INTRO TO THE THEATRE,A
EEU 205,TEACH SCIENCE/EARLY CHILD,A
EEU 211,FAMILY COLLAB & DIVERSITY,A
EEU 325,ASSESS II: FORMATIVE,SUM,A
ELU 353,LANG DEV,READING ASSESS & INT,A
SPU 316,LIT DEVELOP & INSTRUCTION,A
EEU 301,TEACH LITERACY/GRADES 2-4,A
EEU 303,LANG DEVELOP/LANG ARTS PREK-4,A
EEU 304,TEACH SOC STUDIES/PRE K-4,A
EEU 306,INT PRIN/LEARNING PRE K-4,A
EEU 309,TEACH MATH/GRADES 2-4,A
EEU 390,CLINICAL EXPER I:PRE K-4,A
EEU 391,CLINICAL EXPER II:PRE K-4,A
EDU 101 CTWI,A
ENG 23,A
GEG 20 CD,B
MAT 103,A
PSY 11,B+
BIO 10,A
COM 10,A-
ENG 10 CT,A
HIS 25,A-
MAT 104 QL,A
EEU 202,A
HEA 102,A-
ITC 321 CPVL,A
PSY 110,A-
SOC 10 CD,A
SPU 201 CD,A
ARH 24 VL ,B+
ARU 236,A
AST 20,A
EEU 130,A
EEU 209,A
EEU 220 VL,A
EEU 225,A
EEU 300,A
SPU 314,A
THE 15,A
EEU 205,A
EEU 211 CD,A
EEU 325,A
ELU 353,A
SPU 316 WI,A
EEU 301,A
EEU 303 WI,A
EEU 304,A
EEU 306 WI,A
EEU 309,A
EEU 390,A
EEU 391,A
