Course,Title,Credits,Grade,Repeat,Honors,Term
"Counseling, Educ Psy & Spec Ed",,,,,,
CEP 240,Div Lrnrs in Multicult Persp,3,4.0,,,Spring 2014
Economics,,,,,,
EC 201,Introduction to Microeconomics,3,4.0,,,Spring 2013
EC 202,Introduction to Macroeconomics,3,3.5,,,Fall 2011
Geography,,,,,,
GEO 204,World Regional Geography,3,4.0,,,Fall 2012
GEO 221,Intro Geographic Information,3,4.0,,,Summer 2013
GEO 330,Geography of the U.S. & Canada,3,4.0,,,Summer 2014
GEO 333,Geography of Michigan,3,4.0,,,Spring 2014
Human Develop & Family Studies,,,,,,
HDFS 211,Child Growth and Development,3,4.0,,,Summer 2013
HDFS 320,Interaction with Children,3,3.5,,,Fall 2013
HDFS 320L,Interaction with Children-Lab,1,P,,,Fall 2013
HDFS 321,Curriculum for Children,3,4.0,,,Spring 2014
HDFS 321L,Curriculum for Children-Lab,1,4.0,,,Spring 2014
HDFS 322,Infant Dev & Program Planning,3,3.5,,,Spring 2015
HDFS 421,Assessment of Young Child,3,4.0,,,Fall 2014
HDFS 424,Student Teaching in ECE,6,P,,,Spring 2015
History,,,,,,
HST 140,World History to 1500,4,4.0,,,Summer 2012
HST 150,World History since 1500,4,4.0,,,Summer 2014
HST 201,Historical Methods and Skills,3,4.0,,,Fall 2013
HST 202,U.S. History to 1876,4,4.0,,,Spring 2013
HST 203,U.S. History Since 1876,4,3.5,,,Spring 2012
HST 311,African Amer Hist since 1876,3,4.0,,,Spring 2014
HST 320,History of Michigan,3,4.0,,,Summer 2014
