IAH 207,"Lit, Cultures, Identities (I)",4,3.0,Fall 2012
IAH 241E,Creative Process,4,3.0,Spring 2013
Integrative Studies Biological,,,,
ISB 202,Appl Envir & Organismal Bio,3,4.0,Fall 2011
ISB 208L,IS Biology Lab,2,4.0,Fall 2011
Integrated Science Education,,,,
ISE 301,Science for Elementary Schools,3,4.0,Fall 2013
Integrative Studies Physical,,,,
ISP 203B,Natural Hazards & Environment,3,4.0,Fall 2012
Integrative Studies Social Sci,,,,
ISS 215,Soc Different & Inequality (D),4,4.0,Spring 2012
ISS 325,War and Revolution (I),4,4.0,Summer 2014
Kinesiology,,,,
KIN 355,Phys Activ & HIth Educ Teacher,3,4.0,Fall 2014
Linguistics,,,,
LIN 401,Introduction to Linguistics,4,4.0,Fall 2014
Mathematics,,,,
MTH 201,Elementary Math for Teachers I,3,3.0,Fall 2011
MTH 202,Elem Math for Teachers II,3,4.0,Spring 2012
Political Science,,,,
PLS 100,Intro to Amer Ntl Government,3,4.0,Summer 2012
PLS 140,Govt & Politics of the World,3,4.0,Fall 2012
Psychology,,,,
PSY 101,Introductory Psychology,4,T,Summer 2011
Teacher Education,,,,
TE 150,Reflections on Learning,3,4.0,Fall 2011
