,,,,
,,,,
,,,,
,,,,
,,Probsolv: Mdl Sch Tch,3.00 A,12.00
SCE,5020,Physci: Elem&Mdl Scl,3.00 A,12.00
TED,5150,(WI) Anls: Elem Teaching,5.00 A,20.00
,Ehrs:,14.00 GPA-Hrs: 14.00 QPts:,56.00 GPA:,4.00
Fall,2014,,,
HIS,2240,History of Michigan,4.00 B+,13.32
RLL,4430,Tchng Readng 2: Cmprehnsn PP-8,3.00 A-,11.01
,Ehrs:,7.00 GPA-Hrs: 7.00 QPts:,24.33 GPA:,3.47
Winter,2015,,,
,Recommended,for Elementary Provisional 5/11/15,,
Teaching,Major:,Mathematics,,
SCE,5030,Earth Science for Teachers,3.00 B,9.00
TED,5780,Directed Tchg & Cnf,10.00 S,0.00
,Ehrs:,13.00 GPA-Hrs: 3.00 QPts:,9.00 GPA:,3.00
