SUBJ,NO.,COURSE TITLE,CRED,GRD,PTS,R
ECO,2020,(SS)Prnc:Macroecon,4.00,B-,10.68,
KIN,5550,Hlth&P E:Elemnry Schl Tchrs,3.00,A,12.00,
MAE,5100,Geometry:Midl Sch Tchrs,3.00,A-,11.01,
TED,2250,Ethcl Issus:Schools&Socty,3.00,A,12.00,
HIS,2040,U S To 1877,4.00,B+,13.32,
MAE,5120,Abstr Algbra: Mdl Sch Tch,3.00,A-,11.01,
TED,2251,Becoming Profesnl Educa,3.00,A,12.00,
TED,6020,Cptr Apln: Tchg 1,3.00,A,12.00,
AED,6360,Asp Of Art Therapy,1.00,A,4.00,
BBE,5000,Mlticlt Ed: Urb Amer,2.00,A,8.00,
EDP,3310,Edcatnl Psychlgy,3.00,A-,11.01,
HIS,1000,(HS) Wrld Civizatn to 1500,4.00,B+,13.32,
SED,5010,Inclusive Teaching,2.00,A,8.00,
CSC,1000,(CL)Intro:Comp Sci,3.00,A-,11.01,
ELE,3320,Tchg Rdng 1: Preprmy-9,3.00,A,12.00,
ELE,3400,Math: Preprmry-8,3.00,A-,11.01,
ELE,6070,Fam Cmuty Schl Prtnts,3.00,A,12.00,
UCS,0991,Designing Your Future,0.00,S,0.00,
ELE,3300,Lang: Preprmy-8,3.00,A,12.00,
ELE,3500,Science: Preprmy-8,3.00,A,12.00,
ELE,3600,Socl Stds: PreK-8,3.00,A,12.00,
MAE,5110,Numbr Thry:Midl Scl Tchrs,3.00,A-,11.01,
AED,5050,(VP)Intgrtg Arts in Elem Clsrm,3.00,A,12.00,
MAE,5130,Probsolv: Mdl Sch Tch,3.00,A,12.00,
SCE,5020,Physci: Elem&Mdl Scl,3.00,A,12.00,
TED,5150,(WI)Anls: Elem Teaching,5.00,A,20.00,
HIS,2240,History Of Michigan,4.00,B+,13.32,
RLL,4430,Tchng Readng 2:Cmprehnsn PP-8,3.00,A-,11.01,
SCE,5030,Earth Science for Teachers,3.00,B,9.00,
TED,5780,Directed Tchg & Cnf,10.00,S,0.00,
