Subj No.,Course Title,Cred,Grd,Pts,R
CHEBOYGAN AREA HIGH SCHOOL 01-MAY-2000,,,,,
Beginning of Undergraduate Record,,,,,
Fall 2000,,,,,
ENGL 105,THOUGHT & WRITING -HC,4.00,BA,14.00,
ENGL 308,QUEST FOR SELF -HC,3.00,A,12.00,
GEOG 100,WORLD ECOLOGY PRBLMS,4.00,B,12.00,
GEOG 102,WLD GEOG-MEDIA/MAPS -HC,3.00,A,12.00,
Ehrs: 14.00,GPA-Hrs: 14.00,QPts: 50.00,GPA: 3.57,,
Spring 2001,,,,,
ADA 225,DRUG USE: PER/SOC IMPACT,3.00,BA,10.50,
ANTH 120,PEOPLES OF THE WORLD,3.00,BA,10.50,
ED 250,HUMAN DEVELOPMENT,3.00,A,12.00,
MATH 150,NUMBR CONCPTS ELEM/MID TCHR,4.00,A,16.00,
SPAN 101,BASIC SPANISH II,4.00,A,16.00,
Ehrs: 17.00,GPA-Hrs: 17.00,QPts: 65.00,GPA: 3.82,,
Fall 2001,,,,,
ED 230,NATURE OF CREATIVITY,3.00,A,12.00,
MATH 151,GEOM ELEM/MID SCH TCHR,3.00,BA,10.50,
MUS 240,MUSIC FOR CLSRM TCHR,3.00,A,12.00,
SCI 170,LIFE SCIENCE FOR EL ED I,3.00,BA,10.50,
SPAN 200,INTERMED SPANISH I,4.00,BA,14.00,
Ehrs: 16.00,GPA-Hrs: 16.00,QPts: 59.00,GPA: 3.69,,
Spring 2002,,,,,
ART 200,CREAT PROC THRU ART,3.00,BA,10.50,
ENGL 282,CHILDRENS LITERATURE -HC,4.00,BA,14.00,
HNRS 290,SERVICE LEARNING READING,2.00,A,8.00,
SCI 180,PHYSICAL SCIENCE IN EL ED I-HC,3.00,BA,10.50,
SPAN 201,INTERMED SPANISH II,4.00,BA,14.00,
Ehrs: 16.00,GPA-Hrs: 16.00,QPts: 57.00,GPA: 3.56,,
Fall 2002,,,,,
MATH 265,PROB&STAT ELEM/MID SCH TCHR,4.00,B,12.00,
SCI 190,EARTH SCIENCE FOR EL ED I,3.00,B,9.00,
SCI 270,LIFE SCIENCE FOR EL ED II,3.00,A,12.00,
SPAN 316,SPANISH COMPOSITION,3.00,C,6.00,
SPAN 317,SPANISH CONVERSATION,3.00,W,0.00,
WMS 350,MALE/FEMALE PSY PERSPECTIVES,3.00,A,12.00,
Ehrs: 16.00,GPA-Hrs: 16.00,QPts: 51.00,GPA: 3.19,,
Spring 2003,,,,,
ED 310,EDUC PSYCH CHILDHOOD,3.00,A,12.00,
ED 312,FOUND OF RDG INSTRUC,3.00,BA,10.50,
EDT 347,TECHNOLOGY FOR ELEMENTARY ED,2.00,A,8.00,
SCI 280,PHYSICAL SCIENCE FOR EL ED II,3.00,A,12.00,
SCI 290,EARTH SCIENCE FOR EL ED II -HC,3.00,BA,10.50,
SPAN 317,SPANISH CONVERSATION,3.00,A,12.00,
Ehrs: 17.00,GPA-Hrs: 17.00,QPts: 65.00,GPA: 3.82,,
Summer I 2003,,,,,
ED 407,ELEM SOC STUDIES/MULTICULT ED,3.00,A,12.00,
ES 395,SCHOOL AND SOCIETY,3.00,A,12.00,
MATH 352,TEACHING ELEM SCHOOL MATH,3.00,B,9.00,
Ehrs: 9.00,GPA-Hrs: 9.00,QPts: 33.00,GPA: 3.67,,
Fall 2003,,,,,
ED 351,LITERACY DEVELOPMENT,3.00,A,12.00,
ED 352,LITERACY/LNG ART-CONTENT AREA,3.00,A,12.00,
ED 401,TEACHG ELEM SCHL SCI,3.00,A,12.00,
ED 402,PRACT ELEM SCI MATH,2.00,CR,0.00,
SPAN 322,LIFE-CULT OF SPAIN,3.00,B,9.00,
SPAN 323,LIFE&CULTURE SPANISH AMERICA,3.00,C,6.00,
Ehrs: 17.00,GPA-Hrs: 15.00,QPts: 51.00,GPA: 3.40,,
Spring 2004,,,,,
ED 371,CLASSROOM ORGZN&MGMT,3.00,A,12.00,
ENGL 369,WRITING: ELEMENTARY SCHOOL,4.00,BA,14.00,
ENGL 383,LIT/INTERMEDIATE READER,4.00,BA,14.00,
SPAN 324,INTRO STUDY SPAN LING,3.00,B,9.00,
SPAN 325,INTRO STUDY SPAN LIT,3.00,B,9.00,
SPAN 558,MOD LANG INSTRUCTION,3.00,A,12.00,
Ehrs: 20.00,GPA-Hrs: 20.00,QPts: 70.00,GPA: 3.50,,
Fall 2004,,,,,
ENGL 110,LITERARY INTERP,4.00,A,16.00,
ENGL 377,LANG IN MULTILINGUAL CLASSRM,3.00,A,12.00,
ENGL 484,MULTI-CULT AMER LIT-CHILDREN,4.00,A,16.00,
HNRS 490,HISTORY OF CHILDHOOD,3.00,A,12.00,
SPED 527,LRN W DIS GENL ELEM/MS PROG,3.00,A,12.00,
Ehrs: 17.00,GPA-Hrs: 17.00,QPts: 68.00,GPA: 4.00,,
Spring 2005,,,,,
ED 410,SEMINAR IN EDUCATION,2.00,BA,7.00,
ED 471,INTERN TCHNG: ELEM/MID SCHOOL,10.00,CR,0.00,
Ehrs: 12.00,GPA-Hrs: 2.00,QPts: 7.00,GPA: 3.50,,
