Course,Grade:
ED 351,A
ED 352,A
ED 401,A
ED 402,CR
SPAN 322,B
SPAN 323,C
ED 407,A
ES 395,A
MATH 352,B
MATH 265,B
SCI 190,B
SCI 270,A
SPAN 316,C
SPAN 317,W
WMS 350,A
ED 310,A
ED 312,BA
EDT 347,A
SCI 280,A
SCI 290,BA
SPAN 317,A
ENGL 110,A
ENGL 377,A
ENGL 484,A
HNRS 490,A
SPED 527,A
ED 230,A
MATH 151,BA
MUS 240,A
SCI 170,BA
SPAN 200,BA
ART 200,BA
ENGL 282,BA
HNRS 290,A
SCI 180,BA
SPAN 201,BA
ED 371,A
ENGL 369,BA
ENGL 383,BA
SPAN 324,B
SPAN 325,B
SPAN 558,A
ED 410,BA
ED 471,CR
ADA 225,BA
ANTH 120,BA
ED 250,A
MATH 150,A
SPAN 101,A
ENGL 105,BA
ENGL 308,A
GEOG 100,BA
GEOG 102,A
