Here is the extracted data in a clean format with two columns: 'COURSE' and 'GRADE'.

| COURSE     | GRADE |
|------------|-------|
| CON 501    | NR    |
| CON 598    | NR    |
| CON 540    | NR    |
| CON 557    | NR    |
| CON 589    | NR    |
| CON 598    | NR    |
| CON 310    | M     |
| CON 334    | M     |
| CON 424    | M     |
| CON 468    | M     |
| CON 494    | M     |
| GCU 441    | M     |
| PUP 452    | M     |
| PUP 501    | M     |
| PUP 520    | M     |
| PUP 524    | M     |
| CON 377    | M     |
| CON 389    | M     |
| CON 450    | M     |
| CON 453    | M     |
| CON 471    | M     |
| CON 495    | M     |
| PUP 531    | M     |
| PUP 598    | M     |
| PUP 598    | M     |
| PUP 622    | M     |
| BIO 494    | M     |
| PUP 430    | M     |
| CON 598    | M     |
| CON 243M   | A     |
| ACC 230M   | B     |
| CON 221M   | B     |
| CON 252M   | A     |
| ECE 294M   | A     |
| CON 341M   | B     |
| COM 225M   | B     |
| CON 101M   | A     |
| GLG 101M   | A     |
| GLG 103M   | A     |
| MSE 250M   | A     |
| CON 251M   | A     |
| CON 273M   | A     |
| CON 323M   | A     |
| CON 344M   | A     |
| CON 371M   | A     |

Note: Some entries in the original data were incomplete or malformed, and those have been excluded from the cleaned output.
