Current Special :,Elementary Education
Campus Location.,Florham Campus

Course,,Title,Grd R,Crs Att,Crs Cmpt,Grade Points
,P (Pass) calculated,grades fully satisfy degree into the semester or cumulative,"requirements, GPA",but displayed,are below.,not
DAN,2505,Dance II,P,0.00,3.00,0.0000
MUSIC,1376,Private Instruction Voice,A,1.00,1.00,4.0000
BIOL,1010,Human Sexuality I,A,3.00,3.00,12.0000
EDUC,3309,Sem Professional Prac III,A,3.00,3.00,12.0000
EDUC,6819,Language Develop & Lit II,A,3.00,3.00,12.0000
THEA,4420,Advanced Acting,A-,3.00,3.00,11.0100
EDUC,3403,Field Experience III,A,2.00,2.00,8.0000
,Term,20/SP Totals: 15.00 18.00,59.01,GPA =,3.93,
,,Cumulative Totals: 102.00 117.00,389.76,GPA =,3.82,
,,Academic Standing for Term 20/SP:,HONORS,LIST -,06/23/20,
DAN,2020,Basic Tap,A-,3.00,3.00,11.0100
MUSIC,1380,Private Instruction Voice II,A-,1.00,1.00,3.6700
THEA,2312,Children's Theater II,A,1.00,1.00,4.0000
THEA,2340,Advanced Musical Theater Wkshp,A,3.00,3.00,12.0000
THEA,4421,Advanced Acting II,A-,3.00,3.00,11.0100
EDUC,6820,Prob-Based Strat for Elem Math,A,3.00,3.00,12.0000
EDUC,7763,Human Relations & Conflict Res,A,3.00,3.00,12.0000
,Term,20/FA Totals: 17.00 17.00,65.69,GPA -,3.86,
,,Cumulative Totals: 119.00 134.00,455.45,GPA -,3.83,
,,Academic Standing for Term 20/FA:,HONORS,LIST -,02/15/21,
EDUC,6893,Evaluation and Measurement,A,3.00,3.00,12.0000
MATH,1155,Mathematical Ideas,A,3.00,3.00,12.0000
MUSIC,1401,Private Instruction- Voice III,A,1.00,1.00,4.0000
SOAC,4006,Professional Practice: Theater,A,3.00,3.00,12.0000
EDUC,3404,Field Experience IV,A,2.00,2.00,8.0000
DAN,2022,Ballet II,A,3.00,3.00,12.0000
,Term,21/SP Totals: 15.00 15.00,60.00,GPA =,4.00,

