TERM,COURSE ID,,TITLE,GRADE,CREDITS
FAL13,ENGL& 101,,ENGLISH COMPOSITION I,4.0,5.0
,HLTH 105,,EMERGENCY RESPONSE/CPR,4.0,4.0
,MATH 090,,INTERMEDIATE ALGEBRA,4.0,5.0
Qtrly:,Gpa Cr,14.0,Cr Earn 14.0 P/S Cr 0.0,Grpts 56.0,GPA 4.00
WIN14,CHEM& 141,,GENERAL CHEMISTRY I,3.6,4.0
,CHEM& 151,,GENERAL CHEM LAB I,3.6,2.0
,ENGL& 102,,COMPOSITION II,4.0,5.0
,MATH& 141,,PRECALCULUS I,4.0,5.0
Qtrly:,Gpa Cr,16.0,Cr Earn 16.0 P/S Cr 0.0,Grpts 61.6,GPA 3.85
SPR14,ANTH& 100,,SURVEY OF ANTHROPOLOG:CD,4.0,5.0
,HIST& 118,,WESTERN CIVILIZATION III,4.0,5.0
,MATH& 142,,PRECALCULUS II,4.0,5.0
Qtrly:,Gpa Cr,15.0,Cr Earn 15.0 P/S Cr 0.0,Grpts 60.0,GPA 4.00
FAL14,BUS& 101,,INTRO TO BUSINESS,4.0,5.0
,HUM 101,,STUDIES/AMERICAN CULTURE,4.0,5.0
,MATH& 151,,CALCULUS I,3.9,5.0
Qtrly:,Gpa Cr,15.0,Cr Earn 15.0 P/S Cr 0.0,Grpts 59.5,GPA 3.97
WIN15,COMM 101,,INTERCULTURAL COMMUN:CD,4.0,5.0
,MATH& 152,,CALCULUS II,4.0,5.0
,PHIL& 101,,INTRO TO PHILOSOPHY,4.0,5.0
,PSYC& 100,,GENERAL PSYCHOLOGY,4.0,5.0
Qtrly:,Gpa Cr,20.0,Cr Earn 20.0 P/S Cr 0.0,Grpts 80.0,GPA 4.00
SPR15,BSTEC 107,,BUSINESS ENGLISH,4.0,5.0
,GEOL& 103,,HISTORICAL GEOLOGY,4.0,5.0
,MATH& 153,,CALCULUS III,4.0,5.0
,MGMT 100,,HUMAN REL/ORGANIZ:CD,4.0,5.0
,PE 124,,MEN'S BODY CONDITIONING,4.0,2.0
Qtrly:,Gpa Cr,22.0,Cr Earn 22.0 P/S Cr 0.0,Grpts 88.0,GPA 4.00
SUM16,ACCT& 203,,PRIN OF ACCOUNTING III,4.0,5.0
Qtrly:,Gpa Cr,5.0,Cr Earn 5.0 P/S Cr 0.0,Grpts 20.0,GPA 4.00
Cum:,Gpa Cr,107.0,Cr Earn 107.0 P/S Cr 0.0,Grpts 425.1,GPA 3.97
Clvl:,Gpa Cr,102.0,Cr Earn 102.0 P/S Cr 0.0,Grpts 405.1,GPA 3.97

