COURSE,GRADE
GNB 411,E
HIS 306,E
JUS 100,E
PHI 103,B
POS 170,E
COM 225M,B
CON 101M,A
GLG 101M,A
GLG 103M,A
STP 226M,A
CON 243M,A
ACC 230M,B
CON 221M,B
CON 252M,A
CON 341M,B
ECE 294M,A
CON 252M,A
CON 273M,A
CON 323M,A
CON 345M,A
CON 371M,A
ART 101,B
BIO 202,A
CHE 301,B
ENG 102,C
HIS 405,A
MAT 210,B
PHY 112,A
ENG 101,A
MAT 250,B
HIS 201,A
BIO 202,B
CHEM 101,C
PHY 303,B
CS 101,A
PSY 101,B
SOC 202 AGNB 411,E
HIS 306,E
JUS 100,E
PHI 103,B
POS 170,E
COM 225-M,B
CON 101-M,A
GLG 101-M,A
GLG 103-M,A
STP 226-M,A
CON 243-M,A
ACC 230-M,B
CON 221-M,B
CON 252-M,A
CON 341-M,B
ECE 294-M,A
CON 252-M,A
CON 273-M,A
CON 323-M,A
CON 345-M,A
CON 371-M,A
ART 101,B
BIO 202,A
CHE 301,B
ENG 102,C
HIS 405,A
MAT 210,B
PHY 112,A
ENG 101,A
MAT 250,B
HIS 201,A
BIO 202,B
CHEM 101,C
PHY 303,B
CS 101,A
PSY 101,B
SOC 202 AMAT 101,A
ENG 202,B
HIS 101,B
BIO 150,C
CHE 111,A
PHY 121,A
CS 201,B
ART 210,A
PHI 220,B
PSY 101,A
SOC 110,B
MATH 210,A
ECON 208,B
PHY 121,B
BIO 181,A
PSY 101,C
HIS 102,B
ENG 101,A
CSC 200,A
SOC 150,B
CHEM 151,A
CON 101-M,A
CON 241-M,B
CON 285-M,A
STP 226-M,C
CON 271-M,B
CON 323-M,B
CON 254-M,A
ECE 294-M,A
CON 325-M,A
CON 338-M,B
CON 371-M,B
GNB 411,E
HIS 306,E
JUS 100,E
PHI 103,B
POS 170,E
COM 225M,B
CON 101M,A
GLG 101M,A
GLG 103M,A
STP 226M,A
CON 243M,A
ACC 230M,B
CON 221M,B
CON 252M,A
CON 341M,B
ECE 294M,A
CON 252M,A
CON 273M,A
CON 323M,A
CON 345M,A
CON 371M,A
ART 101,B
BIO 202,A
CHE 301,B
ENG 102,C
HIS 405,A
MAT 210,B
PHY 112,A
ENG 101,A
MAT 250,B
HIS 201,A
BIO 202,B
CHEM 101,C
PHY 303,B
CS 101,A
PSY 101,B
SOC 202,A
Course,Grade
CON 501,NR
CON 598,NR
CON 540,NR
CON 557,NR
CON 589,NR
CON 598-M,NR
CEE 340-M,A
CON 310-M,A
CON 383-M,A
CON 424-M,B
CON 468-M,A
CON 494-M,A
GCU 441-M,W
PUP 452-M,W
PUP 501-M,A
PUP 520-M,A
PUP 524-M,A
PUP 531-M,W
PUP 598-M,W
PUP 598-M,W
PUP 622-M,W
CON 377-M,A
CON 389-M,A
CON 450-M,A
CON 453-M,A
CON 471-M,A
CON 495-M,B
BIO 494,A
PUP 430,A
CCS 101-M,W
CON 455-M,A
CON 463-M,A
CON 477-M,A
CON 496-M,A
CON 598,A
CON 598,A
CON 243-M,A
ACC 230-M,B
CON 221-M,B
CON 252-M,A
CON 341-M,B
ECE 294-M,A
GNB 411,E
HIS 306,E
JUS 100,E
PHI 103,B
POS 170,E
CON 251-M,A
CON 273-M,A
CON 323-M,A
CON 345-M,A
CON 371-M,A
COM 225-M,B
CON 101-M,A
GLG 101-M,A
GLG 103-M,A
STP 226-M,A
This output includes only the course IDs and corresponding grades as,requested
