"Course,Earned Grade"
EN 101,A
MA 255,A
PH 245,A
EN 102,A
MA 256,A
PH 246,A
CM 202,A
CM 266,A
CM 267,A
Sure,here is the extracted information formatted as requested:
```
"Course,Earned Grade"
