Subj No.,Course Title, ,Cred,Grd,Pts,R
Fall 2002, , , , , , 
Ehrs: 16.00,GPA-Hrs: 16.00,QPts: 51.00,GPA: 3.19, , , 
Spring 2003, , , , , , 
ED 310,EDUC PSYCH CHILDHOOD, ,3.00,A,12.00, 
ED 312,FOUND OF RDG INSTRUC, ,3.00,BA,10.50, 
EDT 347,TECHNOLOGY FOR ELEMENTARY,ED,2.00,A,8.00, 
SCI 280,PHYSICAL SCIENCE FOR EL,ED II,3.00,A,12.00, 
SCI 290,EARTH SCIENCE FOR EL ED,II -HC,3.00,BA,10.50, 
SPAN 317,SPANISH CONVERSATION, ,3.00,A,12.00, 
Ehrs: 17.00,GPA-Hrs: 17.00,QPts: 65.00,GPA: 3.82, , , 
Summer I 2003, , , , , , 
ED 407,ELEM SOC STUDIES/MULTICULT,ED,3.00,A,12.00, 
ES 395,SCHOOL AND SOCIETY, ,3.00,A,12.00, 
MATH 352,TEACHING ELEM SCHOOL,MATH,3.00,B,9.00, 
Ehrs: 9.00,GPA-Hrs: 9.00,QPts: 33.00,GPA: 3.67, , , 
Fall 2003, , , , , , 
ED 351,LITERACY DEVELOPMENT, ,3.00,A,12.00, 
ED 352,LITERACY/LNG ART-CONTENT,AREA,3.00,A,12.00, 
ED 401,TEACHG ELEM SCHL SCI, ,3.00,A,12.00, 
ED 402,PRACT ELEM SCI MATH, ,2.00,CR,0.00, 
SPAN 322,LIFE-CULT OF SPAIN, ,3.00,B,9.00, 
SPAN 323,LIFE&CULTURE SPANISH,AMERICA,3.00,C,6.00, 
Ehrs: 17.00,GPA-Hrs: 15.00,QPts: 51.00,GPA: 3.40, , , 
Spring 2004, , , , , , 
ED 371,CLASSROOM ORGZN&MGMT, ,3.00,A,12.00, 
ENGL 369,WRITING ELEMENTARY,SCHOOL,4.00,BA,14.00, 
ENGL 383,LIT/INTERMEDIATE READER, ,4.00,BA,14.00, 
SPAN 324,INTRO STUDY SPAN LING, ,3.00,B,9.00, 
SPAN 325,INTRO STUDY SPAN LIT, ,3.00,B,9.00, 
SPAN 558,MOD LANG INSTRUCTION, ,3.00,A,12.00, 
Ehrs: 20.00,GPA-Hrs: 20.00,QPts: 70.00,GPA: 3.50, , , 
Fall 2004, , , , , , 
ENGL 110,LITERARY INTERP, ,4.00,A,16.00, 
ENGL 377,LANG IN MULTILINGUAL,CLASSRM,3.00,A,12.00, 
ENGL 484,MULTI-CULT AMER LIT-CHILDREN, ,4.00,A,16.00, 
HNRS 490,HISTORY OF CHILDHOOD, ,3.00,A,12.00, 
SPED 527,LRN W DIS GENL ELEM/MS,PROG,3.00,A,12.00, 
Ehrs: 17.00,GPA-Hrs: 17.00,QPts: 68.00,GPA: 4.00, , , 
Spring 2005, , , , , , 
ED 410,SEMINAR IN EDUCATION, ,2.00,BA,7.00, 
ED 471,INTERN TCHNG: ELEM/MID,SCHOOL,10.00,CR,0.00, 
Ehrs: 12.00,GPA-Hrs: 2.00,QPts: 7.00,GPA: 3.50, , , 
 , ,Undergraduate Transcript,Totals, , , 
 , ,Earned Hrs,Gpa Hrs,Points,GPA, 
TOTAL,INSTITUTION,171.00,159.00,576.00,3.62, 
TOTAL,TRANSFER,0.00,0.00,0.00,0.00, 
OVERALL Date Issued:,23-APR-2012,171.00 Comments,159.00,576.00,3.62, 
