Here is the extracted data in the desired format:


Course,Grade:
COMM271UG,A-
PSYC268UG,B
ANTH116UG,B
COMM273UG,A
ENGL101UG,B
GEOL211UG,B-
MUIP141UG,A
COMM370UG,A
ANTH376UG,B
ARCH213UG,B+
COMM474UG,A
GERM103UG,B-
ANTH421UG,W
ANTH482UG,W
COMM493UG,A-
GERM201UG,W
MUIP104UG,A
SOC228UG,W
PHIL101,TR
AHS101UG,C
COMM101UG,A-
COMM312UG,C
COMM374UG,A
GEOL311UG,B+
GERM201UG,C+
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM493UG,A-
COMM370UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
COMM373UG,P
COMM474UG,A
