0,1,2,3,4,5,6,7
,Attempt Hours,Passed Hours,Earned Hours,GPA Hours,Quality Points,GPA,
Total Institution:,72.000,72.000,72.000,71.000,230.40,,3.24
Total Transfer:,39.000,39.000,39.000,0.000,0.00,,0.00
Overall:,111.000,111.000,111.000,71.000,230.40,,3.24
Subject,Course,Level,Title,Credit Hours,,,
ASTR,302,UG,Stellar Astronomy,2.000,,,
BITH,315,UG,Christian Thought,4.000,,,
COMM,302,UG,Rhetorical Theory,4.000,,,
COMM,362,UG,Group Dynamics,2.000,,,
COMM,373,UG,Theater Workout,1.000,,,
COMM,494,UG,Senior Seminar,2.000,,,
