COURSE,GRADE
COMM 271,A
COMM 373,P
PSYC 268,B
ANTH 116,B
COMM 273,A
ENGL 101,B
GEOL 211,B
MUIP 141,A
COMM 370,A
Culture Theory,B
NT Archaeology,B
Theater Workout,P
January Project,A
Accel Elem German,B
Images of the Middle East,W
Ethnographic Theory Method,W
Theater Workout,P
Mentoring Intl Scenography,A
Intermediate German,W
MATH 101 by exam 2hr eq,P
Private Lessons Voice,A
Sociology of Sexuality,W
BITH 211,TR
BITH 213,TR
C E 111,TR
CSCI 135,TR
ENGW 103,TR
HIST 115,TR
IDS 1X1,TR
IDS 1X2,TR
MUCS 101,TR
PSYC 101,TR
PSYC 1X1,TR
PHIL 101,TR
AHS 101,C
COMM 101,A
Major Elective Credit,TR
Cross Cultural Experience,TR
Art Survey,TR
Gospel Church Culture,TR
Shakespeare Practicum,A
Communication Criticism,C
Theater Workout,P
Directing,A
January Project,A
Geology of National Parks,B
Forgn Lang Comp Met,P
Intermediate German,C
