BITH,211,OT Lit & Interpretation,TR,3.000,,0.00
BITH,213,NT Lit & Interpretation,TR,3.000,,0.00
CE,111,Foundations of Ministry,TR,3.000,,0.00
CSCI,135,Computer Literacy,TR,2.000,,0.00
ENGW,103,Composition & Research,TR,3.000,,0.00
HIST,115,World Civilization To 1600,TR,3.000,,0.00
IDS,1X1,Partic in Arts,TR,1.000,,0.00
IDS,1X2,Intercultural Re-entry,TR,1.000,,0.00
MUCS,101,Intro To Music: Historical,TR,2.000,,0.00
PSYC,101,Intro to Psychology,TR,3.000,,0.00
PSYC,1X1,Intrapersonal Psych,TR,2.000,,0.00

,Attempt Hours,Passed Hours,Earned Hours,GPA Hours,Quality Points,GPA,
Current Term:,36.000,36.000,36.000,0.000,0.00,,0.00

,,,,,,
Subject,Course,Title,Grade,Credit Hours,Quality Points,R
PHIL,101,Intro to Philosophy,TR,3.000,,0.00

,Attempt Hours,Passed Hours,Earned Hours,GPA Hours,Quality Points,GPA,
Current Term:,3.000,3.000,3.000,0.000,0.00,,0.00

Subject,Course,Level,Title,Grade,Credit Hours,Quality R Points
AHS,101,UG,Wellness,C,2.000,4.00
COMM,101,UG,Public Speaking,A-,,

