"Class,Grade"
"COMPSCI 161,A"
"COMPSCI 170,B"
"DEMOG 180,A-"
"UGBA 135,P"
"DATA C104,__"
"DATA 198,__"
"EECS 151,__"
"EECS 151LB,__"
"SOCIOL 113,__"
```
"Class,Grade"
"COMPSCI 36,P"
"COMPSCI 61A,B"
"COMPSCI 197,P"
"COMPSCI 199,P"
"EECS 16A,B"
"ENGIN 98,P"
"POLSCI 5,P"
"COMPSCI 61B,A"
"COMPSCI 197,P"
"EECS 16B,B+"
"MUSIC 29,A"
"ANTHRO 2AC,A"
"COMPSCI 70,B"
"COMPSCI 197,P"
"DATA C8,A"
"COMPSCI 61C,B+"
"DATA C100,A-"
"DATA 198,P"
"SCANDIN 60,B+"
```
"Class,Title,Un. Gr.,Pts."
"BIOENG 26,Introduction to Bioengineering,P,0.0"
```
