Course,Grade
CON 243M,A
ACC 230,B
CON 221-M,B
CON 252-M,A
CON 294-M,B
HIS 366,E
GHB 411,E
POS 100,E
HIS 103,B
UUH 170,E
POS 107,E
CON 274-M,A
CON 252-M,A
COM 230-M,A
CON 273-M,A
CON 252-M,B
COM 101-M,A
GLO 101-M,A
STP 226-M,A
CEN 310-M,A
CEN 381-M,A
CEN 464-M,A
CEN 469-M,A
CEN 370-M,A
CEN 369-M,A
CEN 450-M,A
CEN 470-M,A
CON 409-M,A
CON 453-M,A
CON 471-M,A
CON 495-M,B
CON 459-M,A
CON 467-M,A
CON 469-M,A
BIO 494,A
CON 598,A+
CON 598,A
CON 501,NR
CON 598,NR
CON 540,NR
CON 557,NR
CON 598,NR
CON 598,NR



