Course,Grade
HIST 1150,N
HIST 1151,N
SPCH 1204,A
MATH 1106,A
MUSIC 2202,A
UNIV 1001,A
THEA 1209,A
ENGL 1108,B
EDUC 1102,A
EDUC 1108,A
BIOL 1007,A
HON 1101,A
COMM 2099,A
PSYC 1103,A
PHIL 2201,A
UNIV 1002,A
EDUC 2401,A
THEA 1203,B+
MUSIC 1022,A
PSYC 1002,A
SPAN 1002,A
SPAN 1008,B+
THEA 1202,A
EDUC 2204,A
EDUC 2209,B+
EDUC 24102,A-
ART 3405,A
ENGL 2002,A-
UNIV 2001,A-
UNIV 3402,B+
ENGL 2004,A
MUSIC 1020,A
THEA 2311,A-
DANC 2310,A
EDUC 6618,A
THEA 3337,A
ENGL 2339,A
MUSIH 3344,A
DAN 1375,A
MUSIC 2016,A
BIOL 1010,P
EDUC 3309,A
EDUC 6819,A
THEA 4241,A
EDUC 3403,A-
DAN 2020,A-
MUSIC 1382,A
THEA 1310,A
THEA 2340,A
THEA 4242,A
EDUC 6821,A-
EDUC 7763,A
EDUC 6883,A
MATH 1115,A
MUSIC 1401,A
EDUC 4006,A
SOC 3044,A
DAN 2022,A
EDUC 6583,A
EDUC 6584,A
EDUC 6811,A
EDUC 7612,A
EDUC 6675,A
EDUC 6740,A
EDUC 6825,A



