Subject,Course,Grade
UNIV,111,TR
UNIV,112,TR
CHEM,101,TR
CHEZ,101,TR
HPEx,xx,TR
MATH,141,TR
SPCH,121,TR
UNIV,101,TR
CHEM,102,TR
CHEZ,102,TR
ENGL,1XX,TR
HIST,101,TR
MATH,151,TR
EGRE,101,TR
HIST,102,TR
MATH,200,TR
PHIL,101,TR
ENGR,1XX,TR
MATH,201,TR
PHIL,221,TR
PHYS,207,TR
EGRE,245,TR
MATH,301,TR
EGRE,205,TR
EGRE,254,TR
PHYS,208,TR
EGRE,207,TR
EGRE,246,TR
EGRE,2XX,TR
CMSC,355,A
EGRE,335,A
EGRE,364,B
EGRE,365,A
CMSC,312,A
ECON,205,A
EGRE,306,A
EGRE,337,A
MATH,211,A
CMSC,302,A
EGRE,404,A
EGRE,426,A
EGRE,428,A
ENGR,401,A
MATH,310,A
CMSC,401,A
EGRE,405,B
EGRE,429,C+
EGRE,531,A-
EGRE,535,B+
ENGR,403,F
MATH,307,A

