Subj No.,Grd
ENDL 385,BA
ENGL 105,A
GEOG 102,B
GEOG 104,A
ED 310,A
ED 312,BA
ED 317,A
SCI 290,A
SPAN 317,BA
ENG 105,A
ED 452,A
ED 310,A
ED 352,A
SCI 290,BA
SPAN 317,A
ED 310,A
ED 452,A
ED 352,BR
SCI 290,CR
SPAN 317,CR
ENGL 105,BA
ED 310,A
ED 314,A
ED 352,A
SCI 290,A
SPAN 317,A
ENGL 105,BA
ED 310,A
ED 314,A
SCI 290,BA
SPAN 317,A
ENGL 385,BA
ENG 314,A
HIST 404,A
ENGL 385,A
ENG 314,A
SPAN 490,BA
ADAS 225,BA
ANTH 210,BA
ED 420,A
MATH 150,A
SPAN 317,A
SPAN 490,A
ENDL 385,BA
ENG 314,A
HIST 404,A
SPAN 490,A
ANTH 210,A
ART 202,BA
ENG 385,BA
HNSL 282,A
