```csv
"Subj No.,Grd"
"ENGL 105,A"
"ENGL 306,B"
"GEOG 102,A"
"GEOG 102,B"
"ED 310,A"
"ED 312,BA"
"ED 317,A"
"SCI 290,BA"
"SPAN 317,***"
"ED 305,A"
"MATH 467,B"
"ENG 105,A"
"ENG 300,BA"
"GEOG 102,A"
"GEOG 102,B"
"ANTH 225,BA"
"ADA 250,A"
"ED 260,A"
"MATH 150,A"
"SPAN 317,A"
"ED 200,A"
"MATH 150,A"
"MUS 240,BA"
"SCI 220,A"
"SPAN 160,BA"
"ED 250,B"
"MATH 265,A"
"SCI 220,*"
"SCI 317,C"
"SPAN 316,A"
"WGS 350,A"
"ART 202,BA"
"ENGL 282,A"
"HONS 280,B"
"SCI 100,BA"
"SPAN 261,A"
"ENGL 200,A"
"ENG 371,A"
"HONR 195,A"
"HED 484,A"
"ED 150,A"
"ED 410,BA"
"ED 417,**"
```
